humidity,temperature,rain,pressure,weather
76.69,27.17,1,1014,Rainy
70.88,26.28,1,1011,Rainy
69.5,26.91,1,1010,Rainy
70.69,27.71,0,1014,Cloudy
74.56,28.41,0,1014,Cloudy
69.56,28.16,0,1011,Cloudy
65.38,27.76,0,1011,Cloudy
69.5,28.01,0,1014,Cloudy
73,27.96,0,1010,Cloudy
73.94,27.86,0,1011,Cloudy
73.69,27.52,0,1013,Cloudy
71.69,27.53,0,1012,Cloudy
68.25,27.78,0,1014,Cloudy
65.94,27.67,0,1012,Cloudy
63.94,27.43,1,1011,Rainy
61.81,26.81,1,1011,Rainy
62.19,26.36,1,1011,Rainy
64.81,26.78,1,1010,Rainy
70.31,26.69,1,1012,Rainy
73.94,26.6,1,1016,Rainy
68.5,27,1,1014,Rainy
67.94,27.14,1,1015,Rainy
60.88,27.31,1,1010,Rainy
61.94,27.05,1,1011,Rainy
60.38,27.11,1,1015,Rainy
63.94,27.26,1,1010,Rainy
68.5,26.72,1,1013,Rainy
69.25,27.01,1,1012,Rainy
75.06,26.22,1,1010,Rainy
66.81,27.4,1,1015,Rainy
63.25,27.88,0,1010,Cloudy
60.19,27.73,0,1013,Cloudy
54.06,27.62,0,1012,Cloudy
61.75,27.8,0,1010,Cloudy
60.88,28,0,1016,Cloudy
66.38,28.01,0,1016,Cloudy
70.5,27.62,0,1015,Cloudy
72.56,28.24,0,1015,Cloudy
68.56,28.82,0,1014,Cloudy
71.69,28.42,0,1014,Cloudy
75.94,27.73,0,1013,Cloudy
73.25,28.16,0,1013,Cloudy
73.19,27.94,0,1015,Cloudy
69.44,28.08,0,1013,Cloudy
68.44,27.88,0,1012,Cloudy
71.81,28.05,0,1014,Cloudy
72.56,28.19,0,1011,Cloudy
66.94,28.74,0,1012,Cloudy
65.75,28.95,0,1012,Cloudy
59.25,28.8,0,1013,Cloudy
61.88,28.69,0,1010,Cloudy
61.19,29.01,0,1012,Cloudy
62.38,29.24,0,1013,Cloudy
59.94,28.77,0,1016,Cloudy
52.06,29.37,0,1016,Cloudy
44.56,29.76,0,1015,Sunny
51.69,29.4,0,1016,Cloudy
54.12,29.79,0,1011,Sunny
63.44,28.92,0,1013,Cloudy
64,29.07,0,1014,Cloudy
65.44,29.33,0,1013,Cloudy
69.44,29.16,0,1015,Cloudy
68.44,28.83,0,1015,Cloudy
66.5,28.4,0,1011,Cloudy
67.75,28.4,0,1011,Cloudy
66.88,28.75,0,1011,Cloudy
71.12,28.71,0,1016,Cloudy
70.69,28.66,0,1012,Cloudy
65.75,28.75,0,1015,Cloudy
67.12,28.73,0,1014,Cloudy
66.5,29.16,0,1010,Cloudy
64.06,29.16,0,1010,Cloudy
65.69,29.36,0,1014,Cloudy
67.12,29.73,0,1014,Sunny
67.25,29.82,0,1016,Sunny
73.12,28.83,0,1011,Cloudy
75.5,28.94,0,1011,Cloudy
75.44,28.9,0,1011,Cloudy
74.38,29.08,0,1010,Cloudy
72.81,28.93,0,1011,Cloudy
75.12,28.51,0,1011,Cloudy
74.44,28.7,0,1014,Cloudy
74.38,28.81,0,1012,Cloudy
71.56,29.01,0,1016,Cloudy
65.12,29.2,0,1010,Cloudy
71.94,28.6,0,1016,Cloudy
68.38,28.53,0,1012,Cloudy
70,28.8,0,1016,Cloudy
76.12,28.21,0,1012,Cloudy
78,28.29,0,1016,Cloudy
75.94,28.87,0,1013,Cloudy
71.44,29.48,0,1014,Cloudy
72.69,28.68,0,1013,Cloudy
68.75,29.23,0,1015,Cloudy
74.12,28.88,0,1014,Cloudy
75.25,29.01,0,1011,Cloudy
77.69,28.82,0,1010,Cloudy
75.44,29.21,0,1010,Cloudy
74.81,29.15,0,1010,Cloudy
75.94,28.78,0,1013,Cloudy
74.31,28.99,0,1016,Cloudy
76.44,28.89,0,1013,Cloudy
78.62,28.62,0,1013,Cloudy
76.81,28.8,0,1010,Cloudy
72.62,29.39,0,1016,Cloudy
